author,title,genre,num_pages,year,publisher,language,version,price
Jane Austen,Pride and Prejudice,Romance,4482,2003,Penguin Classics,English,Paperback,2.49
Jane Austen,Pride and Prejudice,Romance,4482,2003,Penguin Classics,English,Kindle,0.75
Jane Austen,Sense and Sensibility,Romance,368,2003,Penguin Classics,English,Paperback,7.35
Jane Austen,Sense and Sensibility,Romance,368,2003,Penguin Classics,English,Kindle,0.75
Jane Austen,Emma,Romance,512,2015,Penguin Classics,English,Paperback,10.99
Jane Austen,Emma,Romance,512,2015,Penguin Classics,English,Kindle,8.49
Jane Austen,Persuasion,Romance,304,2003,Penguin Classics,English,Paperback,3.74
Jane Austen,Persuasion,Romance,304,2003,Penguin Classics,English,Kindle,0.0
Jane Austen,Mansfield Park,Romance,224,2019,Independently published,English,Paperback,10.49 
Jane Austen,Mansfield Park,Romance,224,2019,Independently published,English,Kindle,0.0
Jane Austen,Northanger Abbey,Romance,240,2023,Harper Muse,English,Paperback,13.75
Jane Austen,Northanger Abbey,Romance,240,2023,Harper Muse,English,Kindle,0.99
Jane Austen,Lady Susan,Romance,240,1974,Penguin Classics,English,Paperback,7.09
Jane Austen,Lady Susan,Romance,240,1974,Penguin Classics,English,Kindle,2.12
Nicholas Sparks,The Notebook,Romance,272,2007,Sphere,Englih,Paperback,7.98
Nicholas Sparks,The Notebook,Romance,272,2007,Sphere,Englih,Kindle,4.99
Nicholas Sparks,A Walk to Remember,Romance,240,2013,Sphere,English,Paperback,7.85
Nicholas Sparks,A Walk to Remember,Romance,240,2013,Sphere,English,Kindle,4.99
Nicholas Sparks,Dear John,Romance,2010,2006,Sphere,English,Paperback,8.27
Nicholas Sparks,Dear John,Romance,2010,2006,Sphere,English,Kindle,2.99
Nicholas Sparks,The Lucky One,Romance,368,2012,Sphere,Englih,Paperback,8.27
Nicholas Sparks,The Lucky One,Romance,368,2012,Sphere,Englih,Kindle,4.99
Nicholas Sparks,The Choice,Romance,352,2016,Sphere,English,Paperback,6.99
Nicholas Sparks,The Choice,Romance,352,2016,Sphere,English,Kindle,4.99
Nicholas Sparks,The Last Song,Romance,401,2009,Sphere,English,Paperback,8.27
Nicholas Sparks,The Last Song,Romance,401,2009,Sphere,English,Kindle,2.99
